id,name,price,pixel,min_iso,max_iso,continuous_shooting_performance,shutter_speed,monitor_size,monitor_pixel,shooting_num,four_k,wifi,touch_panel,move_panel,weight,width,height,depth,frame_id,maker_id,finder_id,f_value_wide,shooting_num_with_finder,bluetooth,zoom,min_focus,max_focus,selfie,waterproof,gps,nearest_shot,anti_shake,five_axis_anti_shake,nearest_shot_with_macro_mode,f_value_tele,super_wide,open_year,open_month,camera_type_id
13,LUMIX DMC-TX1,47800,2010,125,2560,60,60〜1/16000 秒,3,104,300,True,True,True,,310,110.5,64.5,44.3,5,6,8,2.8,,,10,25,250,False,,False,50,光学式,,5,5.9,False,2016,3,1
14,サイバーショット DSC-RX100M5A,82747,2010,125,2560,24,30〜1/32000 秒,3,122.8,220,True,True,False,チルト液晶,299,101.6,58.1,41,5,1,1,1.8,,,3,24,70,True,,False,5,光学式,,,2.8,False,2018,7,1
15,サイバーショット DSC-RX10M4,159501,2010,100,2560,24,30〜1/32000 秒,3,144,400,True,True,True,チルト液晶,1095,132.5,94,145,5,1,5,2.4,,,25,24,600,False,,False,3,光学式,,,4,False,2017,10,1
16,PowerShot G9 X Mark II,41700,2010,125,12800,8.1,1〜1/2000 秒,3,104,235,False,True,True,,206,98,57.9,31.3,5,4,2,2,,○,3,28,84,False,,False,5,光学式,,5,4.9,False,2017,2,1
17,PowerShot SX730 HS,29980,2030,80,3200,5.9,1〜1/3200 秒,3,92.2,250,False,True,False,チルト液晶,300,110.1,63.8,39.9,6,4,2,3.3,,○,40,24,960,True,,False,1,光学式,,1,6.9,False,2017,5,1
18,サイバーショット DSC-WX500,33270,1820,80,1280,10,1〜1/2000 秒,3,92.1,400,False,True,False,チルト液晶,236,101.6,58.1,35.5,6,1,2,3.5,,,30,24,720,True,,False,5,光学式,,,6.4,False,2015,6,1
19,PowerShot SX740 HS,41979,2030,100,3200,,1〜1/3200 秒,3,92.2,265,True,True,False,チルト液晶,299,110.1,63.8,39.9,6,4,2,3.3,,○,40,24,960,True,,False,1,光学式,,1,6.9,False,2018,8,1
20,COOLPIX W300,27500,1605,125,6400,120,1〜1/1500 秒,3,92,280,True,True,False,,231,111.5,66,29,6,3,2,2.8,,○,5,24,120,False,30 m,True,50,レンズシフト方式/電子式,,1,4.9,False,2017,6,1
21,COOLPIX P900,47324,1605,100,12800,120,1〜1/4000 秒,3,92,360,False,True,False,バリアングル液晶,899,139.5,103.2,137.4,6,3,9,2.8,,,83,24,2000,False,,True,50,レンズシフト方式,,1,6.5,False,2015,3,1
22,COOLPIX B500,20769,1602,125,6400,120,1〜1/1500 秒,3,92,600,False,True,False,チルト液晶,542,113.5,78.3,94.9,6,3,2,3,,○,40,22.5,900,False,,False,30,レンズシフト方式,,1,6.5,False,2016,5,1
23,COOLPIX W100,11540,1317,125,1600,4.7,1〜1/2000 秒,2.7,23,220,False,True,False,,177,109.5,67,38,5,3,2,3.3,,○,3,30,90,False,10 m,False,5,,,5,5.9,False,2016,10,1
24,COOLPIX A10,6880,1614,80,1600,1.2,1〜1/2000 秒,2.7,23,200,False,False,False,,160,96.4,59.4,28.9,6,3,2,3.2,,,5,26,130,False,,False,50,,,10,6.5,False,2016,1,1
25,GR II,57442,1620,100,25600,4,300〜1/4000 秒,3,123,320,False,True,False,,251,117,62.8,34.7,3,7,2,2.8,,,,28,28,False,,False,30,,,10,2.8,False,2015,7,1
26,サイバーショット DSC-WX350,21080,1820,80,1280,10,1〜1/1600 秒,3,46,470,False,True,False,,164,96,54.9,25.7,6,1,2,3.5,,,20,25,500,False,,False,5,光学式,,,6.5,False,2014,3,1
27,COOLPIX A100,7990,2005,80,3200,1.1,1〜1/2000 秒,2.7,23,250,False,False,False,,119,94.5,58.6,19.8,6,3,2,3.2,,,5,26,130,False,,False,50,,,10,6.5,False,2016,1,1
28,サイバーショット DSC-RX0,64912,1530,125,2560,16,1/4〜1/32000 秒,1.5,23,240,False,False,False,,110,59,40.5,29.8,5,1,2,4,,,,24,24,False,10 m,False,50,,,,4,False,2017,10,1
29,LUMIX DC-TZ90,33320,2030,80,640,10,4〜1/16000 秒,3,104,380,True,True,True,チルト液晶,322,112,67.3,41.2,6,6,6,3.3,,,30,24,720,True,,False,50,光学式,,3,6.4,False,2017,6,1
30,サイバーショット DSC-HX90V,40880,1820,80,1280,10,1〜1/2000 秒,3,92.1,390,False,True,False,チルト液晶,245,102,58.1,35.5,6,1,11,3.5,,,30,24,720,True,,True,5,光学式,,,6.4,False,2015,6,1
31,LUMIX DMC-FZ300,41570,1210,100,6400,60,60〜1/4000 秒,3,104,380,True,True,True,バリアングル液晶,691,131.6,91.5,117.1,6,6,12,2.8,,,24,25,600,False,,False,30,光学式,,1,2.8,False,2015,9,1
32,RICOH WG-50,26699,1600,125,6400,,1/4〜1/4000 秒,2.7,23,300,False,False,False,,193,122.5,61.5,29.5,6,7,2,3.5,,,5,28,140,False,14 m,False,50,電子式,,10,5.5,False,2017,6,1
33,IXY 650,15392,2020,80,3200,7.2,1〜1/2000 秒,3,46.1,180,False,True,False,,147,99.6,58,22.8,6,4,2,3.6,,,12,25,300,False,,False,1,光学式,,1,7,False,2016,5,1
34,LUMIX DC-TX2,83800,2010,125,2560,10,60〜1/16000 秒,3,124,370,True,True,True,,340,111.2,66.4,45.2,5,6,10,3.3,,○,15,24,360,False,,False,50,光学式,,3,6.4,False,2018,3,1
35,FinePix XP130,20203,1640,100,6400,60,1/4〜1/2000 秒,3,92,240,False,True,False,,207,109.6,71,27.8,6,2,2,3.9,,○,5,28,140,False,20 m,False,60,CMOSシフト方式,,9,4.9,False,2018,2,1
36,IXY 200,10415,2000,100,1600,0.8,1〜1/2000 秒,2.7,23,210,False,False,False,,126,95.2,54.3,22.1,6,4,2,3.2,,,8,28,224,False,,False,1,,,1,6.9,False,2017,2,1
37,サイバーショット DSC-RX100M4,67800,2010,125,2560,16,30〜1/32000 秒,3,122.8,280,True,True,False,チルト液晶,298,101.6,58.1,41,5,1,16,1.8,,,3,24,70,True,,False,5,光学式,,,2.8,False,2015,7,1
38,HIGH SPEED EXILIM EX-ZR70,23800,1610,80,2560,30,1/4〜1/1000 秒,3,92.1,280,False,True,False,チルト液晶,202,99.6,59.5,25,6,9,2,3.5,,○,10,25,250,True,,False,5,レンズシフト方式,,5,6.5,False,2016,12,1
39,IXY 210,13640,2000,100,1600,0.8,1〜1/2000 秒,2.7,23,190,False,True,False,,137,95.3,56.8,23.6,6,4,2,3,,,10,24,240,False,,False,1,光学式,,1,6.9,False,2017,2,1
40,LEICA C-LUX,141580,2010,125,2500,10,60〜1/16000 秒,3,124,370,True,True,True,,340,113,67,46,5,8,13,3.3,,○,15,24,360,False,,False,50,光学式,,3,6.4,False,2018,7,1
41,PowerShot SX60 HS,39000,1610,100,640,6.4,1〜1/2000 秒,3,92.2,340,False,True,False,バリアングル液晶,650,127.6,92.6,114.3,6,4,14,3.4,,,65,21,1365,False,,False,0,光学式,,0,6.5,False,2014,10,1
42,サイバーショット DSC-W830,13112,2010,80,3200,0.8,1〜1/1600 秒,2.7,23,210,False,False,False,,120,93.1,52.5,22.5,6,1,2,3.3,,,8,25,200,False,,False,5,光学式,,,6.3,False,2017,10,1
43,RICOH THETA SC,20880,1200,100,1600,,1/8〜1/8000 秒,,,260,False,True,False,,102,45.2,130.6,22.9,6,7,2,2,,,,,,False,,False,10,,,,2,True,2016,10,1
44,HIGH SPEED EXILIM EX-ZR1700,20209,1610,80,2560,30,1/4〜1/2000 秒,3,92.1,455,False,True,False,チルト液晶,242,108.3,61.5,33.6,6,9,2,3.5,,○,18,25,450,True,,False,4,レンズシフト方式,,4,5.9,False,2016,2,1
45,LUMIX DMC-LX9,67000,2010,125,2560,50,60〜1/16000 秒,3,104,260,True,True,True,チルト液晶,310,105.5,60,42,5,6,2,1.4,,,3,24,72,True,,False,30,光学式,,3,2.8,False,2016,11,1
46,PowerShot SX530 HS,24841,1600,100,3200,10,1〜1/2000 秒,3,46.1,210,False,True,False,,442,120,81.7,91.9,6,4,2,3.4,,,50,24,1200,False,,False,0,光学式,,0,6.5,False,2015,2,1
47,PowerShot G1 X Mark III,97895,2420,100,25600,,1〜1/2000 秒,3,104,200,False,True,True,バリアングル液晶,399,115,77.9,51.4,3,4,15,2.8,,○,3,24,72,True,,False,10,光学式,,10,5.6,False,2017,11,1
48,FinePix XP120,18141,1640,100,6400,60,1/4〜1/2000 秒,3,92,210,False,True,False,,203,109.6,71,27.8,6,2,2,3.9,,,5,28,140,False,20 m,False,60,CMOSシフト方式,,9,4.9,False,2017,2,1
49,PowerShot SX420 IS,17980,2000,100,1600,0.5,1〜1/4000 秒,3,23,195,False,True,False,,325,104.4,69.1,85.1,6,4,2,3.5,,,42,24,1008,False,,False,0,光学式,,0,6.6,False,2016,2,1
50,HIGH SPEED EXILIM EX-ZR3100,24980,1210,80,2560,30,1/4〜1/1600 秒,3,92.1,425,False,True,False,チルト液晶,249,108.3,61.5,36.7,8,9,2,2.8,,○,12,25,300,True,,False,6,レンズシフト方式,,6,6.3,False,2016,3,1
51,サイバーショット DSC-RX10M3,105795,2010,100,2560,14,30〜1/32000 秒,3,122.8,420,True,True,False,チルト液晶,1095,132.5,94,127.4,5,1,16,2.4,,,25,24,600,False,,False,3,光学式,,,4,False,2016,5,1
52,サイバーショット DSC-RX1RM2,283799,4240,100,10240,5,30〜1/4000 秒,3,122.8,220,False,True,False,チルト液晶,507,113.3,65.4,72,2,1,16,2,,,,35,35,False,,False,30,,,20,2,False,2016,2,1
53,PowerShot SX430 IS,23980,2000,100,1600,0.5,1〜1/4000 秒,3,23,195,False,True,False,,323,104.4,69.1,85.1,6,4,2,3.5,,,45,24,1080,False,,False,0,光学式,,0,6.8,False,2017,2,1
54,EXILIM EX-ZS260,11980,1610,100,1600,,1/2〜1/2000 秒,3,46,175,False,False,False,,179,104.5,61.9,26.4,6,9,2,3.1,,,12,24,288,False,,False,3,レンズシフト方式,,3,6.3,False,2018,3,1
55,PowerShot G5 X,64800,2020,125,12800,5.9,1〜1/2000 秒,3,104,210,False,True,True,バリアングル液晶,377,112.4,76.4,44.2,5,4,15,1.8,,,4,24,100,True,,False,5,光学式,,5,2.8,False,2015,10,1
56,HIGH SPEED EXILIM EX-ZR1800,31980,1610,80,2560,30,1/4〜1/2000 秒,3,92.1,455,False,True,False,チルト液晶,242,108.3,61.5,33.6,6,9,2,3.5,,○,18,25,450,True,,False,4,レンズシフト方式,,4,5.9,False,2017,2,1
57,TG-5 工一郎,55000,1200,100,12800,,1/2〜1/2000 秒,3,46,340,True,True,False,,250,113,66,31.9,6,5,2,2,,,4,25,100,False,15 m,True,10,CMOSシフト方式,,1,4.9,False,2017,10,1
58,サイバーショット DSC-RX100M5,84480,2010,125,2560,24,30〜1/32000 秒,3,122.8,220,True,True,False,チルト液晶,299,101.6,58.1,41,5,1,1,1.8,,,3,24,70,True,,False,5,光学式,,,2.8,False,2016,10,1
59,LUMIX DC-LX100M2,111659,1700,200,10,,60〜1/16000 秒,3,124,340,True,True,True,,392,115,66.2,64.2,4,6,18,1.7,,○,3,24,75,False,,False,50,光学式,,3,2.8,False,2018,10,1
60,サイバーショット DSC-HX400V,41838,2040,80,1280,10,1〜1/4000 秒,3,92.1,380,False,True,False,チルト液晶,660,129.6,93.2,103.2,6,1,17,2.8,,,50,24,1200,False,,True,1,光学式,,,6.3,False,2014,4,1
61,サイバーショット DSC-HX60V,27117,2040,80,1280,10,1〜1/1600 秒,3,92.1,380,False,True,False,,272,108.1,63.6,38.3,6,1,2,3.5,,,30,24,720,False,,True,5,光学式,,,6.3,False,2014,3,1
62,RICOH G800,51674,1600,100,2560,,8〜1/1500 秒,3,92,400,False,False,False,,318,118.8,71,41,6,7,2,3.5,,,5,28,140,False,5 m,False,30,電子式,,1,5.5,False,2014,10,1
63,IXY 180,9780,2000,100,1600,0.8,1〜1/2000 秒,2.7,23,220,False,False,False,,126,95.2,54.3,22.1,6,4,2,3.2,,,8,28,224,False,,False,1,,,1,6.9,False,2016,2,1
64,PowerShot G3 X,68541,2020,125,12800,5.9,1〜1/2000 秒,3.2,162,300,False,True,True,チルト液晶,733,123.3,76.5,105.3,5,4,2,2.8,,,25,24,600,False,,False,5,光学式,,5,5.6,False,2015,6,1
65,LUMIX DMC-FZH1,111622,2010,125,2560,,60〜1/16000 秒,3,104,350,True,True,True,バリアングル液晶,966,137.6,101.9,134.7,5,6,19,2.8,,,20,24,480,False,,False,30,光学式,,3,4.5,False,2016,11,1
66,LEICA Q Typ 116,574493,2420,100,50000,10,30〜1/16000 秒,3,104,,False,True,True,,640,130,80,93,2,8,20,1.7,,,,28,28,False,,False,30,光学式,,17,1.7,False,,,1
67,RICOH THETA V,45388,1200,64,1600,,1/8〜1/25000 秒,,,300,True,True,False,,121,45.2,130.6,22.9,6,7,2,2,,○,,,,False,,False,10,,,,2,True,2017,9,1
68,PowerShot G1 X Mark II,52980,1310,100,12800,5.2,1〜1/4000 秒,3,104,240,False,True,True,チルト液晶,553,116.3,74,66.2,9,4,2,2,,,5,24,120,False,,False,5,光学式,,5,3.9,False,2014,3,1
69,サイバーショット DSC-RX100M2,45958,2020,160,2560,10,1〜1/2000 秒,3,122.9,350,False,True,False,チルト液晶,281,101.6,58.1,38.3,5,1,2,1.8,,,4,28,100,False,,False,5,光学式,,,4.9,False,2013,7,1
70,RICOH WG-40W,26700,1600,125,6400,,1/4〜1/4000 秒,2.7,23,300,False,True,False,,194,122.5,61.5,29.5,6,7,2,3.5,,,5,28,140,False,14 m,False,50,電子式,,10,5.5,False,2015,10,1
71,COOLPIX S6900,17800,1602,125,6400,120,1〜1/2000 秒,3,46,190,False,True,True,バリアングル液晶,181,99.4,58,27.9,6,3,2,3.3,,,12,25,300,True,,False,50,レンズシフト方式,,2,6.3,False,2014,10,1
72,EXILIM EX-FR100L,27680,1020,64,3200,30,,3,92.1,235,False,True,True,,214,60.9,154.8,38.7,6,9,2,2.8,,○,,16,16,True,1.5 m,False,10,,,3,2.8,False,2017,3,1
73,EXILIM EX-ZS29,9980,1610,100,1600,,1/2〜1/2000 秒,2.7,23,180,False,False,False,,133,96.3,56.2,20.6,6,9,2,3.5,,,6,26,156,False,,False,5,,,5,6.5,False,2017,3,1
74,COOLPIX B700,50000,2029,100,3200,120,1〜1/4000 秒,3,92,420,True,True,False,バリアングル液晶,570,125,85,106.5,6,3,22,3.3,,○,60,24,1440,False,,False,50,レンズシフト方式,,1,6.5,False,2016,10,1
75,EXILIM EX-FR200,20079,1195,80,3200,30,,3,92.1,260,True,True,True,,238,60.9,154.8,46.2,6,9,2,2.8,,○,,13,13,True,1.5 m,False,,,,,2.8,False,2016,9,1
76,EXILIM EX-FR100,20974,1020,64,3200,30,,3,92.1,235,False,True,True,,214,60.9,154.8,38.7,6,9,2,2.8,,○,,16,16,True,1.5 m,False,10,,,3,2.8,False,2015,12,1
77,HIGH SPEED EXILIM EX-ZR3200,35424,1210,80,2560,30,1/4〜1/1600 秒,3,92.1,425,False,True,False,チルト液晶,249,108.3,61.5,36.7,8,9,2,2.8,,○,12,25,300,True,,False,6,レンズシフト方式,,6,6.3,False,2017,4,1
78,EXILIM EX-ZS240,11300,1610,100,1600,,1/2〜1/2000 秒,3,46,175,False,False,False,,179,104.5,61.9,26.4,6,9,2,3.1,,,12,24,288,False,,False,3,レンズシフト方式,,3,6.3,False,2017,1,1
79,D-LUX Typ 109,159000,1280,80,2500,40,60〜1/16000 秒,3,92.1,350,True,True,False,,405,117.8,66.2,55,4,8,21,1.7,,,3,24,75,False,,False,50,光学式,,3,2.8,False,2014,11,1
80,RICOH THETA S,26799,1200,100,1600,,1/8〜1/6400 秒,,,260,False,True,False,,125,44,130,22.9,6,7,2,2,,,,,,False,,False,10,,,,2,True,2015,10,1
81,DSC-Pieni,2404,131,1,0,,1/100 秒,,,,False,False,False,,18,51,36,18,10,10,23,2.8,,,,,,False,,False,30,,,,2.8,False,2016,7,1
82,COOLPIX A300,14965,2005,80,3200,1.1,1〜1/1500 秒,2.7,23,240,False,True,False,,119,95.9,58,20.1,6,3,2,3.7,,○,8,25,200,False,,False,50,レンズシフト方式,,2,6.6,False,2016,5,1
