,camera_id,amazon_url,rakuten_url
27,28,https://www.amazon.co.jp/Nikon-%E3%83%87%E3%82%B8%E3%82%BF%E3%83%AB%E3%82%AB%E3%83%A1%E3%83%A9-COOLPIX-2005%E4%B8%87%E7%94%BB%E7%B4%A0-A100RD/dp/B01ALAZOIQ,https://search.rakuten.co.jp/search/mall/COOLPIX+A100/
28,29,https://www.amazon.co.jp/%E3%82%BD%E3%83%8B%E3%83%BC-SONY-%E3%83%87%E3%82%B8%E3%82%BF%E3%83%AB%E3%82%AB%E3%83%A1%E3%83%A9-Cyber-shot-DSC-RX0/dp/B075CMMC7Q,https://search.rakuten.co.jp/search/mall/サイバーショット+DSC-RX0/
29,30,https://www.amazon.co.jp/Panasonic-%E3%82%B3%E3%83%B3%E3%83%91%E3%82%AF%E3%83%88%E3%83%87%E3%82%B8%E3%82%BF%E3%83%AB%E3%82%AB%E3%83%A1%E3%83%A9-%E3%83%AB%E3%83%9F%E3%83%83%E3%82%AF%E3%82%B9-%E5%85%89%E5%AD%A630%E5%80%8D-DC-TZ90-S/dp/B071RCX9HH,https://search.rakuten.co.jp/search/mall/LUMIX+DC-TZ90/
30,31,https://www.amazon.co.jp/%E3%82%BD%E3%83%8B%E3%83%BC-SONY-DSC-HX90V-%E3%83%96%E3%83%A9%E3%83%83%E3%82%AFCyber-shot-BC/dp/B00XXCQ3JE,https://search.rakuten.co.jp/search/mall/サイバーショット+DSC-HX90V/
31,32,https://www.amazon.co.jp/%E3%83%91%E3%83%8A%E3%82%BD%E3%83%8B%E3%83%83%E3%82%AF-%E3%83%87%E3%82%B8%E3%82%BF%E3%83%AB%E3%82%AB%E3%83%A1%E3%83%A9-%E3%83%AB%E3%83%9F%E3%83%83%E3%82%AF%E3%82%B9-FZ300-DMC-FZ300-K/dp/B014U62LZG,https://search.rakuten.co.jp/search/mall/LUMIX+DMC-FZ300/
32,33,https://www.amazon.co.jp/RICOH-%E9%98%B2%E6%B0%B4%E3%83%87%E3%82%B8%E3%82%BF%E3%83%AB%E3%82%AB%E3%83%A1%E3%83%A9-WG-50-%E9%98%B2%E6%B0%B414m%E8%80%90%E3%82%B7%E3%83%A7%E3%83%83%E3%82%AF1-6m%E8%80%90%E5%AF%92-10%E5%BA%A6-04571/dp/B072J97HT2,https://search.rakuten.co.jp/search/mall/RICOH+WG-50/
33,34,https://www.amazon.co.jp/Canon-%E3%82%B3%E3%83%B3%E3%83%91%E3%82%AF%E3%83%88%E3%83%87%E3%82%B8%E3%82%BF%E3%83%AB%E3%82%AB%E3%83%A1%E3%83%A9-%E5%85%89%E5%AD%A612%E5%80%8D%E3%82%BA%E3%83%BC%E3%83%A0-IXY650-BK/dp/B01FH4H5XS,https://search.rakuten.co.jp/search/mall/IXY+650/
34,35,https://www.amazon.co.jp/%E3%83%91%E3%83%8A%E3%82%BD%E3%83%8B%E3%83%83%E3%82%AF-%E3%82%B3%E3%83%B3%E3%83%91%E3%82%AF%E3%83%88%E3%83%87%E3%82%B8%E3%82%BF%E3%83%AB%E3%82%AB%E3%83%A1%E3%83%A9-%E3%83%AB%E3%83%9F%E3%83%83%E3%82%AF%E3%82%B9-%E5%85%89%E5%AD%A615%E5%80%8D-DC-TX2-K/dp/B079TCWCFW,https://search.rakuten.co.jp/search/mall/LUMIX+DC-TX2/
35,36,https://www.amazon.co.jp/FUJIFILM-%E9%98%B2%E6%B0%B4%E3%82%AB%E3%83%A1%E3%83%A9-XP130-%E3%82%B9%E3%82%AB%E3%82%A4%E3%83%96%E3%83%AB%E3%83%BC-FX-XP130SB/dp/B0797LTY9F,https://search.rakuten.co.jp/search/mall/FinePix+XP130/
36,37,https://www.amazon.co.jp/Canon-%E3%83%87%E3%82%B8%E3%82%BF%E3%83%AB%E3%82%AB%E3%83%A1%E3%83%A9-%E3%82%B7%E3%83%AB%E3%83%90%E3%83%BC-%E5%85%89%E5%AD%A68%E5%80%8D%E3%82%BA%E3%83%BC%E3%83%A0-IXY180SL/dp/B01BWKOQQU,https://search.rakuten.co.jp/search/mall/IXY+200/
37,38,https://www.amazon.co.jp/SONY-%E3%83%87%E3%82%B8%E3%82%BF%E3%83%AB%E3%82%AB%E3%83%A1%E3%83%A9-Cyber-shot-%E5%85%89%E5%AD%A62-9%E5%80%8D-DSC-RX100M4/dp/B010EWIN6Q,https://search.rakuten.co.jp/search/mall/サイバーショット+DSC-RX100M4/
38,39,https://www.amazon.co.jp/CASIO-%E3%83%87%E3%82%B8%E3%82%BF%E3%83%AB%E3%82%AB%E3%83%A1%E3%83%A9-EX-ZR70WE-%E3%80%8C%E8%87%AA%E5%88%86%E6%92%AE%E3%82%8A%E3%83%81%E3%83%AB%E3%83%88%E6%B6%B2%E6%99%B6%E3%80%8D-%E3%82%BB%E3%83%AB%E3%83%95%E3%82%A3%E3%83%BC%E3%82%A2%E3%83%BC%E3%83%88%E3%80%8D/dp/B01M32UVP5,https://search.rakuten.co.jp/search/mall/HIGH+SPEED+EXILIM+EX-ZR70/
